type,index,x,y,z
pixel,0,453,185,
pixel,1,378,180,
pixel,2,383,107,
pixel,3,311,103,
pixel,4,240,99,
pixel,5,234,170,
pixel,6,228,241,
dobot,0,239.9686847603281,46.854460092895636,-40.0
dobot,1,237.67223382066942,9.295774646789985,-40.0
dobot,2,204.14405010460135,11.799687009732645,-40.0
dobot,3,202.3068893529075,-24.25665101839489,-40.0
dobot,4,200.46972860122176,-59.8122065737884,-40.0
dobot,5,233.07933194139179,-62.81690140935588,-40.0
dobot,6,265.6889352815782,-65.82159624492486,-40.0
