type,index,x,y,z
pixel,0,338,360,
pixel,1,342,285,
pixel,2,416,288,
pixel,3,418,214,
pixel,4,421,140,
pixel,5,348,137,
pixel,6,275,135,
dobot,0,352.34446764098317,1.61971830933984,-40.0
dobot,1,317.8977035489423,3.5915492952245223,-40.0
dobot,2,319.27557411286574,40.070422534720464,-40.0
dobot,3,285.2881002087042,41.05633802761047,-40.0
dobot,4,251.30062630461313,42.53521126697827,-40.0
dobot,5,249.9227557408427,6.549295774027853,-40.0
dobot,6,249.00417536496892,-29.436619718766938,-40.0
