type,index,x,y,z
pixel,0,480,356,
pixel,1,485,289,
pixel,2,420,284,
pixel,3,425,218,
pixel,4,361,214,
pixel,5,366,149,
pixel,6,430,154,
pixel,7,435,87,
pixel,8,371,84,
pixel,9,305,80,
pixel,10,239,76,
dobot,0,350.5073068899994,71.61971830964089,-40.0
dobot,1,319.7348643009875,74.08450704195957,-40.0
dobot,2,317.4384133613002,42.04225352063963,-40.0
dobot,3,287.12526096029535,44.50704225297695,-40.0
dobot,4,285.2881002085735,12.957746478283092,-40.0
dobot,5,255.4342379955698,15.422535210637948,-40.0
dobot,6,257.7306889351259,46.97183098531234,-40.0
dobot,7,226.95824634632606,49.43661971764061,-40.0
dobot,8,225.58037578261383,17.88732394298889,-40.0
dobot,9,223.7432150310154,-14.64788732449513,-40.0
dobot,10,221.90605427942424,-47.18309859185064,-40.0
