type,index,x,y,z
pixel,0,90,264,
pixel,1,160,277,
pixel,2,151,341,
pixel,3,217,354,
pixel,4,283,366,
pixel,5,295,302,
pixel,6,307,238,
dobot,0,376.0757847249439,-117.15117946231899,-43.0
dobot,1,383.93520652609806,-77.88585689819409,-43.0
dobot,2,421.9176729590576,-81.32443826667128,-43.0
dobot,3,429.49171239294225,-45.06677793178989,-43.0
dobot,4,436.4417229817937,-9.039063037206889,-43.0
dobot,5,398.9113101853512,-2.853801940487306,-43.0
dobot,6,360.2071577338687,3.5248992408210613,-43.0
