type,index,x,y,z
pixel,0,309,347,
pixel,1,321,273,
pixel,2,394,286,
pixel,3,406,213,
pixel,4,418,139,
pixel,5,346,127,
pixel,6,275,115,
dobot,0,346.3736951982372,-12.676056338541525,-40.0
dobot,1,312.3862212941553,-6.760563380822532,-40.0
dobot,2,318.3569937370049,29.225352112150013,-40.0
dobot,3,284.8288100207831,35.14084506984874,-40.0
dobot,4,250.84133611671655,41.056338027538025,-40.0
dobot,5,245.32985386192402,5.563380281068033,-40.0
dobot,6,239.81837160715745,-29.436619718765762,-40.0
