type,index,x,y,z
pixel,0,344,356,
pixel,1,348,280,
pixel,2,421,283,
pixel,3,424,210,
pixel,4,426,136,
pixel,5,354,132,
pixel,6,281,129,
dobot,0,350.50730688943014,4.577464788212608,-40.0
dobot,1,315.6012526094934,6.549295774094171,-40.0
dobot,2,316.97912317340877,42.53521126711948,-40.0
dobot,3,283.45093945714297,44.0140845064884,-40.0
dobot,4,249.4634655530486,44.999999999373536,-40.0
dobot,5,247.6263048013915,9.50704225289195,-40.0
dobot,6,246.24843423763187,-26.478873239912833,-40.0
