type,index,x,y,z
pixel,0,225,255,
pixel,1,281,250,
pixel,2,286,316,
pixel,3,350,312,
pixel,4,420,307,
pixel,5,416,237,
pixel,6,411,166,
dobot,0,370.605519893852,-42.14896031675346,-43.0
dobot,1,367.55611883887696,-10.94970104828729,-43.0
dobot,2,407.219507460997,-7.726897896115362,-43.0
dobot,3,404.8514336660176,27.457072117059667,-43.0
dobot,4,401.88494016082586,66.02402134828235,-43.0
dobot,5,359.5927986243727,64.5867228211112,-43.0
dobot,6,315.1922143160213,62.540219862644165,-43.0
