type,index,x,y,z
pixel,0,453,184,
pixel,1,378,180,
pixel,2,382,107,
pixel,3,309,104,
pixel,4,238,100,
pixel,5,233,171,
pixel,6,228,242,
dobot,0,239.50939457243567,46.85446009289373,-40.0
dobot,1,237.67223382066942,9.295774646789985,-40.0
dobot,2,204.14405010459953,11.298904537119006,-40.0
dobot,3,202.7661795407945,-25.258215963617218,-40.0
dobot,4,200.92901878910797,-60.813771519007524,-40.0
dobot,5,233.53862212927936,-63.317683881964854,-40.0
dobot,6,266.1482254694685,-65.82159624492355,-40.0
