type,index,x,y,z
pixel,0,310,71,
pixel,1,314,149,
pixel,2,230,149,
pixel,3,232,231,
pixel,4,235,316,
pixel,5,322,315,
pixel,6,406,314,
dobot,0,253.27090560794596,4.6163507584764725,-43.0
dobot,1,304.327426262083,7.187686589725766,-43.0
dobot,2,304.3274262611882,-40.906384337623656,-43.0
dobot,3,355.90032866351294,-38.58102428236978,-43.0
dobot,4,407.2195074601909,-35.757697158713306,-43.0
dobot,5,406.627914944578,12.057872769470022,-43.0
dobot,6,406.03603861046844,58.24672077820463,-43.0
