type,index,x,y,z
pixel,0,284,57,
pixel,1,261,118,
pixel,2,238,179,
pixel,3,299,202,
pixel,4,277,264,
pixel,5,254,328,
pixel,6,316,352,
pixel,7,379,377,
pixel,8,445,403,
dobot,0,213.17954070953624,-25.00000000048592,-40.0
dobot,1,241.19624217081466,-36.33802816941957,-40.0
dobot,2,269.2129436321054,-47.67605633835822,-40.0
dobot,3,279.7766179537274,-17.605633803337177,-40.0
dobot,4,308.25260960298715,-28.450704225821582,-40.0
dobot,5,337.6471816280441,-39.78873239478845,-40.0
dobot,6,348.6701461377363,-9.225352113193102,-40.0
dobot,7,360.1524008353756,21.830985915014576,-40.0
dobot,8,372.09394572097625,54.36619718280661,-40.0
