type,index,x,y,z
pixel,0,452,185,
pixel,1,378,180,
pixel,2,383,107,
pixel,3,311,103,
pixel,4,240,98,
pixel,5,234,170,
pixel,6,228,242,
dobot,0,239.96868476032546,46.35367762028013,-40.0
dobot,1,237.67223382066942,9.295774646789985,-40.0
dobot,2,204.14405010460135,11.799687009732645,-40.0
dobot,3,202.3068893529075,-24.25665101839489,-40.0
dobot,4,200.010438413332,-59.81220657378973,-40.0
dobot,5,233.07933194139179,-62.81690140935588,-40.0
dobot,6,266.1482254694685,-65.82159624492355,-40.0
