type,index,x,y,z
pixel,0,338,317,
pixel,1,342,256,
pixel,2,416,265,
pixel,3,424,195,
pixel,4,434,116,
pixel,5,352,108,
pixel,6,273,100,
dobot,0,407.8108163644605,20.853091998498257,-43.0
dobot,1,371.2145099459021,23.11046582197052,-43.0
dobot,2,376.68211660486816,64.27721945737537,-43.0
dobot,3,333.5157444231578,69.58736350929006,-43.0
dobot,4,282.9713864297851,76.36592832288397,-43.0
dobot,5,277.7406001052189,29.046923551580093,-43.0
dobot,6,272.4886515526371,-16.724593063704535,-43.0
