type,index,x,y,z
pixel,0,291,353,
pixel,1,283,275,
pixel,2,362,267,
pixel,3,355,188,
pixel,4,348,104,
pixel,5,267,111,
pixel,6,181,118,
dobot,0,428.91075551085726,-4.767512018441302,-43.0
dobot,1,382.72928533559303,-9.657950677410444,-43.0
dobot,2,377.893897734685,34.22277177279127,-43.0
dobot,3,329.1168918378631,30.55013080795878,-43.0
dobot,4,275.1172791261627,26.740800286506936,-43.0
dobot,5,279.70461804579304,-20.093578772817903,-43.0
dobot,6,284.2757913917015,-69.6479960267643,-43.0
