type,index,x,y,z
pixel,0,167,339,
pixel,1,181,273,
pixel,2,195,207,
pixel,3,209,143,
pixel,4,273,154,
pixel,5,339,166,
pixel,6,351,103,
pixel,7,416,114,
pixel,8,480,125,
dobot,0,342.6993736945235,-82.67605633813311,-40.0
dobot,1,312.38622129372425,-75.77464788744653,-40.0
dobot,2,282.0730688929586,-68.87323943676758,-40.0
dobot,3,252.67849686800622,-61.97183098609733,-40.0
dobot,4,257.7306889348918,-30.42253521171946,-40.0
dobot,5,263.24217118969295,2.1126760557413964,-40.0
dobot,6,234.30688935253482,8.028169013444522,-40.0
dobot,7,239.3590814194021,40.070422534554886,-40.0
dobot,8,244.411273486289,71.6197183093151,-40.0
