type,index,x,y,z
pixel,0,281,56,
pixel,1,259,118,
pixel,2,237,180,
pixel,3,299,203,
pixel,4,277,265,
pixel,5,254,330,
pixel,6,316,354,
pixel,7,379,378,
pixel,8,445,403,
dobot,0,212.72025052164588,-26.478873239911632,-40.0
dobot,1,241.19624217081264,-37.32394366236965,-40.0
dobot,2,269.67223381999435,-48.16901408483338,-40.0
dobot,3,280.23590814161935,-17.605633803337064,-40.0
dobot,4,308.7118997908796,-28.450704225821628,-40.0
dobot,5,338.5657620038301,-39.788732394788866,-40.0
dobot,6,349.58872651352465,-9.22535211319266,-40.0
dobot,7,360.61169102327096,21.830985915015262,-40.0
dobot,8,372.09394572097625,54.36619718280661,-40.0
