type,index,x,y,z
pixel,0,396,214,
pixel,1,320,210,
pixel,2,323,135,
pixel,3,250,132,
pixel,4,177,129,
pixel,5,174,202,
pixel,6,170,275,
dobot,0,253.28810020904234,18.309859153900963,-40.0
dobot,1,251.45093945725068,-19.74960876472001,-40.0
dobot,2,217.00417536543293,-18.247261346999895,-40.0
dobot,3,215.62630480160726,-54.804381847639725,-40.0
dobot,4,214.24843423778637,-91.3615023481527,-40.0
dobot,5,247.77661795370454,-92.86384976589498,-40.0
dobot,6,281.3048016696413,-94.86697965624738,-40.0
