type,index,x,y,z
pixel,0,474,321,
pixel,1,459,255,
pixel,2,395,269,
pixel,3,381,205,
pixel,4,318,219,
pixel,5,304,156,
pixel,6,367,141,
pixel,7,352,76,
pixel,8,289,91,
pixel,9,226,106,
pixel,10,162,121,
dobot,0,334.43215031361154,68.66197183069535,-40.0
dobot,1,304.1189979124722,61.2676056333762,-40.0
dobot,2,310.54906054280656,29.718309858616482,-40.0
dobot,3,281.15448851758134,22.816901407854726,-40.0
dobot,4,287.58455114793685,-8.239436620269506,-40.0
dobot,5,258.64926931072074,-15.140845070959866,-40.0
dobot,6,251.75991649243466,15.915492957111455,-40.0
dobot,7,221.90605427947526,8.521126759908785,-40.0
dobot,8,228.79540709779985,-22.535211268107755,-40.0
dobot,9,235.68475991610234,-53.591549296024226,-40.0
dobot,10,242.57411273438152,-85.14084507031286,-40.0
